,Estratégia,Retorno Acumulado,Meses Exp<=0,Meses Exp>0,Sharpe Médio Anual
0,variable,1.1938275296087877,13.0,0.0,-0.01597327269803467
1,variable,0.798511682031128,1.0,12.0,-0.07625076261900299
2,variable,1.059860318534156,12.0,1.0,0.04758886125178245
3,variable,0.7498545836920005,5.0,8.0,-0.0021410111010043906
4,variable,0.9540569719268088,9.0,4.0,-0.03794649452557276
5,variable,0.8145301657307411,1.0,12.0,0.051001445671911234
6,variable,0.8145061057300922,5.0,8.0,0.012847465590488258
